,time,"('susceptible', 'All')",susceptible,"('exposed', 'All')",exposed,"('infected (active)', 'All')",infected (active),"('infected (total)', 'All')",infected (total),"('removed', 'All')",removed,"('hospitalized (active)', 'All')",hospitalized (active),"('in ICU', 'All')",in ICU,"('deaths', 'All')",deaths
101,101.0,15478337.547989985,15478337.547989985,28191.80323505082,28191.80323505082,70204.47984313019,70204.47984313019,1493914.68306907,1493914.68306907,1423266.1689318332,1423266.1689318332,,,2585.3341706589213,2585.3341706589213,114563.3928703499,114563.3928703499
102,102.0,15469249.77709303,15469249.77709303,27926.544539321796,27926.544539321796,69573.3960982509,69573.3960982509,1503267.7410314656,1503267.7410314656,1433250.2822693978,1433250.2822693978,,,2563.8720723556585,2563.8720723556585,115726.99953987869,115726.99953987869
103,103.0,15460249.216131428,15460249.216131428,27662.323441859186,27662.323441859186,68944.09350370854,68944.09350370854,1512532.5523616625,1512532.5523616625,1443144.3669230042,1443144.3669230042,,,2542.429053706459,2542.429053706459,116881.33904942748,116881.33904942748
104,104.0,15451335.481903827,15451335.481903827,27399.171921864785,27399.171921864785,68316.66235525068,68316.66235525068,1521709.4682556165,1521709.4682556165,1452948.6838190593,1452948.6838190593,,,2521.0089809995707,2521.0089809995707,118026.40978061562,118026.40978061562
105,105.0,15442508.181645807,15442508.181645807,27137.121018692804,27137.121018692804,67691.1907119741,67691.1907119741,1530798.850412376,1530798.850412376,1462663.5066235284,1462663.5066235284,,,2499.6156471535555,2499.6156471535555,119162.2119693599,119162.2119693599
106,106.0,15433766.913335124,15433766.913335124,26876.200838761557,26876.200838761557,67067.76440322651,67067.76440322651,1539801.0707219518,1539801.0707219518,1472289.1214228892,1472289.1214228892,,,2478.252771340389,2478.252771340389,120288.74767509138,120288.74767509138
107,107.0,15425111.265994143,15425111.265994143,26616.440562886448,26616.440562886448,66446.46703680394,66446.46703680394,1548716.5109555598,1548716.5109555598,1481825.8264061678,1481825.8264061678,,,2456.92399866812,2456.92399866812,121406.0207496564,121406.0207496564
108,108.0,15416540.819989353,15416540.819989353,26357.868454015188,26357.868454015188,65827.38000839888,65827.38000839888,1557545.5624583766,1557545.5624583766,1491273.9315482336,1491273.9315482336,,,2435.632899921777,2435.632899921777,122514.03680593136,122514.03680593136
109,109.0,15408055.147327868,15408055.147327868,26100.51186534634,26100.51186534634,65210.58251225502,65210.58251225502,1566288.6258449368,1566288.6258449368,1500633.7582945318,1500633.7582945318,,,2414.3829713611544,2414.3829713611544,123612.80318617981,123612.80318617981
110,110.0,15399653.811950782,15399653.811950782,25844.3972488126,25844.3972488126,64596.15155298372,64596.15155298372,1574946.1106972967,1574946.1106972967,1509905.6392474223,1509905.6392474223,,,2393.177634574112,2393.177634574112,124702.32893018052,124702.32893018052
111,111.0,15391336.37002331,15391336.37002331,25589.55016391057,25589.55016391057,63984.16195849808,63984.16195849808,1583518.4352660838,1583518.4352660838,1519089.9178542835,1519089.9178542835,,,2372.02023638398,2372.02023638398,125782.62474315419,125782.62474315419
